"Ontology","Term ID","Term Name","Z-score","FDR","Num","Members"
"GOBP"," GO:0019222","regulation of metabolic process","6.39","2.5e-8","25","PF00001, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF01017, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0002252","immune effector process","9.93","2.8e-8","9","PF00017, PF00018, PF00129, PF00130, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0019221","cytokine-mediated signaling pathway","9.93","2.8e-8","9","PF00001, PF00017, PF00048, PF01017, PF01108, PF02864, PF02865, PF07714, PF09294"
"GOBP"," GO:0032103","positive regulation of response to external stimulus","9.42","2.9e-8","10","PF00001, PF00017, PF00018, PF00048, PF00129, PF00619, PF01023, PF01582, PF07686, PF07714"
"GOBP"," GO:0051707","response to other organism","8.62","3.3e-8","12","PF00017, PF00018, PF00048, PF00129, PF00605, PF00619, PF01023, PF01108, PF01582, PF07654, PF07714, PF10401"
"GOBP"," GO:0043207","response to external biotic stimulus","8.62","3.3e-8","12","PF00017, PF00018, PF00048, PF00129, PF00605, PF00619, PF01023, PF01108, PF01582, PF07654, PF07714, PF10401"
"GOBP"," GO:0050794","regulation of cellular process","5.38","3.7e-8","31","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF00969, PF00993, PF01017, PF01023, PF01108, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF09294, PF10401"
"GOBP"," GO:0009605","response to external stimulus","7.5","4.5e-8","16","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00129, PF00605, PF00619, PF00656, PF01023, PF01108, PF01582, PF07654, PF07714, PF10401"
"GOBP"," GO:0010033","response to organic substance","7.5","4.5e-8","16","PF00001, PF00017, PF00018, PF00020, PF00048, PF00169, PF00170, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07714, PF09294"
"GOBP"," GO:0080134","regulation of response to stress","7.91","4.6e-8","14","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00129, PF00170, PF00619, PF00656, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:1901652","response to peptide","10.1","5e-8","8","PF00017, PF00018, PF00169, PF00619, PF01017, PF02864, PF02865, PF07714"
"GOBP"," GO:0010942","positive regulation of cell death","10.1","5e-8","8","PF00017, PF00018, PF00020, PF00170, PF00229, PF00619, PF00656, PF07714"
"GOBP"," GO:0002768","immune response-regulating cell surface receptor signaling pathway","10.1","5e-8","8","PF00001, PF00017, PF00018, PF00130, PF00169, PF07654, PF07686, PF07714"
"GOBP"," GO:0009967","positive regulation of signal transduction","8.07","5.4e-8","13","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00229, PF00619, PF00656, PF01023, PF01582, PF07714"
"GOBP"," GO:0060255","regulation of macromolecule metabolic process","6.24","6.1e-8","24","PF00001, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF01017, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0046649","lymphocyte activation","10.6","6.3e-8","7","PF00008, PF00017, PF00018, PF00129, PF07654, PF07686, PF07714"
"GOBP"," GO:0043434","response to peptide hormone","10.6","6.3e-8","7","PF00017, PF00018, PF00169, PF01017, PF02864, PF02865, PF07714"
"GOBP"," GO:0022407","regulation of cell-cell adhesion","9.34","6.8e-8","9","PF00017, PF00018, PF00048, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0044419","biological process involved in interspecies interaction between organisms","8.22","6.8e-8","12","PF00017, PF00018, PF00048, PF00129, PF00605, PF00619, PF01023, PF01108, PF01582, PF07654, PF07714, PF10401"
"GOBP"," GO:0050776","regulation of immune response","8.22","6.8e-8","12","PF00001, PF00017, PF00018, PF00129, PF00130, PF00169, PF00619, PF00969, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0010468","regulation of gene expression","6.49","8.6e-8","21","PF00001, PF00017, PF00020, PF00023, PF00048, PF00129, PF00130, PF00170, PF00178, PF00605, PF00619, PF01017, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF10401"
"GOBP"," GO:0042221","response to chemical","6.66","1.2e-7","19","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00130, PF00169, PF00170, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07714, PF09294"
"GOBP"," GO:0031325","positive regulation of cellular metabolic process","6.76","1.3e-7","18","PF00001, PF00017, PF00018, PF00020, PF00023, PF00130, PF00170, PF00178, PF00605, PF00619, PF01017, PF01582, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:1901700","response to oxygen-containing compound","8.19","1.4e-7","11","PF00001, PF00017, PF00018, PF00048, PF00169, PF00619, PF01017, PF01582, PF02864, PF02865, PF07714"
"GOBP"," GO:0042127","regulation of cell population proliferation","7.86","1.5e-7","12","PF00001, PF00008, PF00017, PF00020, PF00048, PF00229, PF01017, PF02864, PF02865, PF07654, PF07686, PF07714"
"GOBP"," GO:0009725","response to hormone","9.35","1.7e-7","8","PF00001, PF00017, PF00018, PF00169, PF01017, PF02864, PF02865, PF07714"
"GOBP"," GO:0001819","positive regulation of cytokine production","8.83","1.7e-7","9","PF00017, PF00048, PF00129, PF00605, PF00619, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0043067","regulation of programmed cell death","8.23","2.5e-7","10","PF00017, PF00018, PF00020, PF00048, PF00130, PF00170, PF00229, PF00619, PF00656, PF07714"
"GOBP"," GO:0042981","regulation of apoptotic process","8.23","2.5e-7","10","PF00017, PF00018, PF00020, PF00048, PF00130, PF00170, PF00229, PF00619, PF00656, PF07714"
"GOBP"," GO:0031349","positive regulation of defense response","9.03","2.9e-7","8","PF00001, PF00017, PF00018, PF00129, PF00619, PF01582, PF07686, PF07714"
"GOBP"," GO:0030155","regulation of cell adhesion","7.54","3.1e-7","12","PF00008, PF00017, PF00018, PF00048, PF00130, PF00169, PF00229, PF00969, PF00993, PF07654, PF07686, PF07714"
"GOBP"," GO:0043068","positive regulation of programmed cell death","9.55","3.1e-7","7","PF00017, PF00018, PF00020, PF00229, PF00619, PF00656, PF07714"
"GOBP"," GO:0043065","positive regulation of apoptotic process","9.55","3.1e-7","7","PF00017, PF00018, PF00020, PF00229, PF00619, PF00656, PF07714"
"GOBP"," GO:0007165","signal transduction","6.07","3.4e-7","21","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00169, PF00170, PF00229, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07654, PF07686, PF07714, PF09294"
"GOBP"," GO:0023056","positive regulation of signaling","7.22","3.6e-7","13","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00229, PF00619, PF00656, PF01023, PF01582, PF07714"
"GOBP"," GO:0010647","positive regulation of cell communication","7.22","3.6e-7","13","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00229, PF00619, PF00656, PF01023, PF01582, PF07714"
"GOBP"," GO:0043085","positive regulation of catalytic activity","7.43","3.7e-7","12","PF00001, PF00017, PF00018, PF00020, PF00048, PF00130, PF00169, PF00229, PF00619, PF00656, PF01582, PF07714"
"GOBP"," GO:0050789","regulation of biological process","4.83","4.3e-7","31","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF00969, PF00993, PF01017, PF01023, PF01108, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF09294, PF10401"
"GOBP"," GO:1902531","regulation of intracellular signal transduction","6.76","7.3e-7","14","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00169, PF00229, PF00619, PF00656, PF01023, PF01582, PF07714"
"GOBP"," GO:0002253","activation of immune response","8.46","7.4e-7","8","PF00001, PF00017, PF00018, PF00130, PF00169, PF07654, PF07686, PF07714"
"GOBP"," GO:0045944","positive regulation of transcription by RNA polymerase II","7.2","0.0000011","11","PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07716, PF10401"
"GOBP"," GO:0009719","response to endogenous stimulus","7.47","0.0000011","10","PF00001, PF00017, PF00018, PF00048, PF00169, PF00619, PF01017, PF02864, PF02865, PF07714"
"GOBP"," GO:0045087","innate immune response","7.79","0.0000012","9","PF00017, PF00018, PF00048, PF00129, PF00619, PF01108, PF01582, PF07654, PF07714"
"GOBP"," GO:0010243","response to organonitrogen compound","7.62","0.0000016","9","PF00001, PF00017, PF00018, PF00169, PF00619, PF01017, PF02864, PF02865, PF07714"
"GOBP"," GO:0023052","signaling","5.56","0.0000019","21","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00169, PF00170, PF00229, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07654, PF07686, PF07714, PF09294"
"GOBP"," GO:0002683","negative regulation of immune system process","8.39","0.0000019","7","PF00017, PF00018, PF00048, PF00129, PF07654, PF07686, PF07714"
"GOBP"," GO:0050727","regulation of inflammatory response","8.39","0.0000019","7","PF00001, PF00017, PF00018, PF00048, PF00619, PF01582, PF07714"
"GOBP"," GO:0010941","regulation of cell death","7.2","0.0000019","10","PF00017, PF00018, PF00020, PF00048, PF00130, PF00170, PF00229, PF00619, PF00656, PF07714"
"GOBP"," GO:0043254","regulation of protein-containing complex assembly","8.97","0.0000021","6","PF00017, PF00018, PF00048, PF00130, PF00169, PF07714"
"GOBP"," GO:1901698","response to nitrogen compound","7.45","0.0000022","9","PF00001, PF00017, PF00018, PF00169, PF00619, PF01017, PF02864, PF02865, PF07714"
"GOBP"," GO:0009891","positive regulation of biosynthetic process","6.47","0.0000022","13","PF00001, PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:0007154","cell communication","5.5","0.0000022","21","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00130, PF00169, PF00170, PF00229, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07654, PF07686, PF07714, PF09294"
"GOBP"," GO:0048583","regulation of response to stimulus","5.66","0.0000025","19","PF00001, PF00008, PF00017, PF00018, PF00020, PF00048, PF00129, PF00130, PF00169, PF00170, PF00229, PF00619, PF00656, PF00969, PF01023, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0051716","cellular response to stimulus","5.28","0.0000026","23","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00130, PF00169, PF00170, PF00229, PF00619, PF00656, PF01017, PF01108, PF01582, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF09294"
"GOBP"," GO:0051345","positive regulation of hydrolase activity","7.29","0.0000028","9","PF00001, PF00017, PF00018, PF00048, PF00130, PF00169, PF00619, PF00656, PF07714"
"GOBP"," GO:0009617","response to bacterium","8.08","0.0000031","7","PF00017, PF00048, PF00129, PF00619, PF01023, PF01582, PF07654"
"GOBP"," GO:0065007","biological regulation","4.38","0.0000036","31","PF00001, PF00008, PF00017, PF00018, PF00020, PF00023, PF00048, PF00129, PF00130, PF00169, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF00969, PF00993, PF01017, PF01023, PF01108, PF01582, PF02198, PF02864, PF02865, PF07654, PF07686, PF07714, PF07716, PF09294, PF10401"
"GOBP"," GO:0070663","regulation of leukocyte proliferation","8.5","0.000004","6","PF00017, PF00020, PF00229, PF07654, PF07686, PF07714"
"GOBP"," GO:0032944","regulation of mononuclear cell proliferation","8.5","0.000004","6","PF00017, PF00020, PF00229, PF07654, PF07686, PF07714"
"GOBP"," GO:0050670","regulation of lymphocyte proliferation","8.5","0.000004","6","PF00017, PF00020, PF00229, PF07654, PF07686, PF07714"
"GOBP"," GO:0008284","positive regulation of cell population proliferation","7.15","0.0000072","8","PF00001, PF00008, PF00017, PF00048, PF00229, PF07654, PF07686, PF07714"
"GOBP"," GO:0002831","regulation of response to biotic stimulus","7.53","0.0000076","7","PF00017, PF00018, PF00129, PF00619, PF07654, PF07686, PF07714"
"GOBP"," GO:0044093","positive regulation of molecular function","6.1","0.0000081","12","PF00001, PF00017, PF00018, PF00020, PF00048, PF00130, PF00169, PF00229, PF00619, PF00656, PF01582, PF07714"
"GOBP"," GO:0080090","regulation of primary metabolic process","5.07","0.0000096","21","PF00001, PF00017, PF00018, PF00020, PF00023, PF00130, PF00169, PF00170, PF00178, PF00229, PF00605, PF00619, PF00656, PF01017, PF01582, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:0031328","positive regulation of cellular biosynthetic process","5.96","0.000011","12","PF00001, PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07716, PF10401"
"GOBP"," GO:0010557","positive regulation of macromolecule biosynthetic process","5.96","0.000011","12","PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:0002833","positive regulation of response to biotic stimulus","7.71","0.000013","6","PF00017, PF00018, PF00129, PF07654, PF07686, PF07714"
"GOBP"," GO:1901701","cellular response to oxygen-containing compound","6.81","0.000013","8","PF00001, PF00017, PF00018, PF00048, PF00169, PF00619, PF01582, PF07714"
"GOBP"," GO:1902680","positive regulation of RNA biosynthetic process","6.01","0.000014","11","PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07716, PF10401"
"GOBP"," GO:1903508","positive regulation of nucleic acid-templated transcription","6.01","0.000014","11","PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07716, PF10401"
"GOBP"," GO:0045893","positive regulation of DNA-templated transcription","6.01","0.000014","11","PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07716, PF10401"
"GOBP"," GO:0009889","regulation of biosynthetic process","5.23","0.000016","17","PF00001, PF00017, PF00023, PF00130, PF00169, PF00170, PF00178, PF00605, PF00619, PF01017, PF01582, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:0051050","positive regulation of transport","6.65","0.000017","8","PF00001, PF00017, PF00018, PF00048, PF00130, PF00169, PF07654, PF07686"
"GOBP"," GO:0002520","immune system development","7.38","0.000021","6","PF00008, PF00017, PF00018, PF07654, PF07714, PF07716"
"GOBP"," GO:0040017","positive regulation of locomotion","6.85","0.000022","7","PF00001, PF00008, PF00017, PF00018, PF00048, PF00169, PF07714"
"GOBP"," GO:2000147","positive regulation of cell motility","6.85","0.000022","7","PF00001, PF00008, PF00017, PF00018, PF00048, PF00169, PF07714"
"GOBP"," GO:0030335","positive regulation of cell migration","6.85","0.000022","7","PF00001, PF00008, PF00017, PF00018, PF00048, PF00169, PF07714"
"GOBP"," GO:0016477","cell migration","6.13","0.000027","9","PF00001, PF00008, PF00017, PF00018, PF00048, PF00130, PF01023, PF07686, PF07714"
"GOBP"," GO:0042060","wound healing","7.08","0.000032","6","PF00008, PF00017, PF00018, PF00130, PF00169, PF07714"
"GOBP"," GO:0051254","positive regulation of RNA metabolic process","5.65","0.000032","11","PF00017, PF00023, PF00170, PF00178, PF00605, PF01017, PF02198, PF02864, PF02865, PF07716, PF10401"
"GOBP"," GO:0010628","positive regulation of gene expression","6.02","0.000033","9","PF00017, PF00048, PF00129, PF00605, PF00619, PF01582, PF07654, PF07686, PF07714"
"GOBP"," GO:0010562","positive regulation of phosphorus metabolic process","6.22","0.000037","8","PF00001, PF00017, PF00018, PF00020, PF00130, PF00619, PF01582, PF07714"
"GOBP"," GO:0045937","positive regulation of phosphate metabolic process","6.22","0.000037","8","PF00001, PF00017, PF00018, PF00020, PF00130, PF00619, PF01582, PF07714"
"GOBP"," GO:2001141","regulation of RNA biosynthetic process","5.04","0.000043","15","PF00017, PF00023, PF00130, PF00170, PF00178, PF00605, PF00619, PF01017, PF01582, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:0006355","regulation of DNA-templated transcription","5.04","0.000043","15","PF00017, PF00023, PF00130, PF00170, PF00178, PF00605, PF00619, PF01017, PF01582, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:1903506","regulation of nucleic acid-templated transcription","5.04","0.000043","15","PF00017, PF00023, PF00130, PF00170, PF00178, PF00605, PF00619, PF01017, PF01582, PF02198, PF02864, PF02865, PF07714, PF07716, PF10401"
"GOBP"," GO:1901699","cellular response to nitrogen compound","6.81","0.000046","6","PF00001, PF00017, PF00018, PF00169, PF00619, PF07714"
"GOBP"," GO:0044089","positive regulation of cellular component biogenesis","6.81","0.000046","6","PF00017, PF00018, PF00048, PF00169, PF01582, PF07714"
"GOBP"," GO:0032102","negative regulation of response to external stimulus","6.81","0.000046","6","PF00008, PF00017, PF00018, PF00129, PF07654, PF07714"
"GOBP"," GO:0045088","regulation of innate immune response","6.81","0.000046","6","PF00017, PF00018, PF00129, PF07654, PF07686, PF07714"
"GOBP"," GO:0032870","cellular response to hormone stimulus","7.37","0.000047","5","PF00001, PF00017, PF00018, PF00169, PF07714"
"GOBP"," GO:0002699","positive regulation of immune effector process","7.37","0.000047","5","PF00017, PF00129, PF07654, PF07686, PF07714"
"GOBP"," GO:0002703","regulation of leukocyte mediated immunity","7.37","0.000047","5","PF00017, PF00129, PF07654, PF07686, PF07714"
"GOBP"," GO:0045089","positive regulation of innate immune response","7.37","0.000047","5","PF00017, PF00018, PF00129, PF07686, PF07714"
